City,Region,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,PrimeRent
Amsterdam,EMEA,12:00,12:00,12:00,06:30,06:30,"345,3.0"
Athens,EMEA,05:30,05:30,06:00,06:00,06:00,"204,0.0"
Barcelona,EMEA,06:00,06:00,06:00,06:00,06:15,"213,1.4"
Berlin,EMEA,10:30,10:30,10:45,11:00,11:00,"264,0.0"
Brussels,EMEA,06:00,06:00,06:00,06:00,06:00,"275,-3.5"
Bucharest,EMEA,06:00,06:00,06:00,06:00,06:00,"222,0.0"
Budapest,EMEA,05:45,06:00,06:00,06:00,06:00,"240,2.6"
Cologne,EMEA,11:30,11:30,11:30,11:30,11:30,"264,0.0"
Copenhagen,EMEA,06:00,06:00,06:00,06:00,06:00,"235,0.0"
Dublin,EMEA,06:30,07:15,08:00,08:15,08:30,"517,37.1"
Dusseldorf,EMEA,10:00,10:30,11:00,02:00,03:00,"312,-5.5"
Edinburgh,EMEA,06:45,06:45,06:45,06:45,07:00,"416,1.7"
Frankfurt,EMEA,10:00,10:30,10:30,11:00,11:00,"420,0.0"
Geneva,EMEA,02:00,02:00,03:00,04:00,04:00,"769,0.0"
Hamburg,EMEA,10:00,10:30,10:30,10:30,11:00,"294,2.1"
Helsinki,EMEA,12:00,12:00,12:00,12:00,12:30,"300,-2.0"
Istanbul,EMEA,07:00,07:00,07:00,07:00,06:00,"420,0.0"
Kiev,EMEA,06:00,06:00,02:00,03:30,03:45,"298,-14.3"
Lisbon,EMEA,05:30,05:30,05:45,05:45,06:00,"219,0.0"
London City,EMEA,08:15,08:15,08:15,08:15,08:30,"867,4.2"
London West End,EMEA,08:15,08:15,08:15,08:15,08:45,"1595,9.5"
Luxembourg,EMEA,08:00,08:00,08:15,08:15,08:15,"504,0.0"
Lyon,EMEA,06:00,09:00,09:00,12:00,12:00,"300,11.1"
Madrid,EMEA,06:00,06:00,06:00,06:15,06:30,"306,5.2"
Manchester,EMEA,06:45,06:45,06:45,07:15,07:15,"444,3.2"
Milan,EMEA,05:00,05:15,06:00,06:30,06:30,"470,4.4"
Moscow,EMEA,10:30,11:30,11:30,12:00,02:00,"744,-21.7"
Munich,EMEA,10:00,10:00,10:30,10:30,10:00,"396,4.8"
Oslo,EMEA,11:00,11:00,10:30,10:30,11:00,"463,5.0"
Paris CBD,EMEA,05:00,06:00,06:00,06:00,06:15,"740,4.2"
Prague,EMEA,05:45,05:45,05:45,06:00,06:00,"234,-4.9"
Rome,EMEA,05:30,05:30,05:45,06:00,06:00,"380,-5.0"
St. Petersburg,EMEA,10:45,11:45,12:00,12:30,01:15,"372,-18.2"
Stockholm,EMEA,11:00,08:00,08:00,08:00,08:30,"475,2.3"
Stuttgart,EMEA,11:00,11:00,11:00,11:00,11:00,"228,2.7"
Warsaw,EMEA,04:00,04:00,04:00,04:00,04:30,"288,0.0"
Zurich,EMEA,02:00,03:00,03:00,04:00,04:00,"686,-2.9"
